name,config_num_directories,config_num_files_per_directory,config_min_file_size,config_max_file_size,real,user,sys,max_mem
filegen,10,10,3000,6000,0.19,0.00,0.01,1448
filegen,10,50,3000,6000,0.85,0.04,0.07,1500
filegen,50,10,3000,6000,0.90,0.05,0.07,1504
filegen,50,50,3000,6000,5.35,0.31,0.35,1516
filegen,10,10,3000,6000,0.19,0.01,0.01,1456
filegen,10,50,3000,6000,0.93,0.06,0.06,1604
filegen,50,10,3000,6000,0.86,0.05,0.08,1516
filegen,50,50,3000,6000,5.38,0.25,0.43,1428
filegen,10,10,3000,6000,0.17,0.00,0.01,1448
filegen,10,50,3000,6000,0.95,0.07,0.05,1456
filegen,50,10,3000,6000,0.89,0.04,0.08,1500
filegen,50,50,3000,6000,4.41,0.26,0.36,1492
filegen,10,10,3000,6000,0.19,0.01,0.01,1532
filegen,10,50,3000,6000,1.29,0.05,0.07,1444
filegen,50,10,3000,6000,0.98,0.05,0.07,1440
filegen,50,50,3000,6000,4.65,0.32,0.34,1440
filegen,10,10,3000,6000,0.18,0.00,0.01,1452
filegen,10,50,3000,6000,0.89,0.04,0.07,1428
filegen,50,10,3000,6000,1.37,0.06,0.07,1456
filegen,50,50,3000,6000,4.28,0.25,0.34,1464
filegen,10,10,3000,6000,0.16,0.01,0.01,1492
filegen,10,50,3000,6000,0.84,0.05,0.06,1424
filegen,50,10,3000,6000,0.89,0.05,0.07,1512
filegen,50,50,3000,6000,4.52,0.30,0.34,1488
filegen,10,10,3000,6000,0.86,0.01,0.01,1500
filegen,10,50,3000,6000,1.01,0.06,0.06,1504
filegen,50,10,3000,6000,0.97,0.05,0.07,1456
filegen,50,50,3000,6000,4.96,0.29,0.35,1492
filegen,10,10,3000,6000,0.18,0.01,0.01,1456
filegen,10,50,3000,6000,1.11,0.07,0.06,1572
filegen,50,10,3000,6000,0.90,0.06,0.06,1492
filegen,50,50,3000,6000,4.85,0.33,0.32,1504
filegen,10,10,3000,6000,0.17,0.00,0.01,1544
filegen,10,50,3000,6000,0.92,0.05,0.08,1504
filegen,50,10,3000,6000,0.85,0.05,0.07,1460
filegen,50,50,3000,6000,4.82,0.26,0.37,1576
filegen,10,10,3000,6000,0.20,0.01,0.01,1456
filegen,10,50,3000,6000,0.93,0.05,0.07,1492
filegen,50,10,3000,6000,0.91,0.05,0.07,1512
filegen,50,50,3000,6000,4.27,0.32,0.30,1604
